"Country","age","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"Bhutan",0,3.664,3.39,3.218,3.15,3.187,3.325,3.551,3.826,4.119,4.392,4.612,4.72,4.77,4.794,4.843,4.955,5.115,5.336,5.595,5.86,6.109,6.29,6.457,6.618,6.785,6.968,7.154,7.356,7.561,7.756,7.928,8.093,8.229,8.36,8.519,8.721,8.968,9.26,9.522,9.66,9.615,9.525,9.267,8.925,8.61,8.393,8.097,7.905,7.788,7.708,7.637,7.509,7.398,7.295,7.192,7.082,7.03,6.97,6.901,6.819,6.721,6.57,6.4,6.244,6.147,6.137,6.235,6.419,6.63,6.787,6.833,6.741,6.54,6.277,6.021,5.824,5.711,5.653,5.63,5.607,5.557,5.478,5.378,5.264,5.15,5.044,4.952,4.868,4.791,4.723,4.664,4.619,4.582,4.552,4.524,4.494,4.466,4.435,4.401,4.364,4.323,4.284,4.24,4.192,4.14,4.085,4.032,3.975,3.916,3.856,3.795,3.74,3.686,3.632,3.578,3.524,3.474,3.426,3.378,3.332,3.288,3.251,3.216,3.184,3.152,3.121,3.093,3.067,3.04,3.012,2.982,2.955,2.926,2.896,2.863,2.828,2.793,2.757,2.72,2.681,2.642,2.606,2.571,2.535,2.499,2.462,2.427,2.392,2.358,2.323,2.289
"Bolivia, Plurinational State of",0,55.86,56.467,57.299,58.305,59.448,60.699,61.62,62.669,63.841,65.136,66.552,67.777,69.151,70.634,72.175,73.739,74.961,76.246,77.621,79.133,80.81,82.373,84.121,85.99,87.903,89.794,91.391,93.022,94.615,96.089,97.397,98.277,99.033,99.831,100.904,102.406,104.211,106.456,108.893,111.183,113.078,114.145,114.868,115.389,115.934,116.675,117.6,118.713,119.926,121.121,122.196,123.038,123.802,124.407,124.752,124.781,124.321,123.567,122.721,122.067,121.801,122.06,122.728,123.557,124.193,124.387,123.932,123.055,122.042,121.303,121.122,121.691,122.789,124.129,125.297,125.99,126.078,125.721,125.065,124.344,123.736,123.347,123.059,122.842,122.647,122.43,122.253,122.075,121.859,121.557,121.136,120.62,119.987,119.291,118.607,117.989,117.533,117.151,116.794,116.394,115.901,115.36,114.731,114.065,113.437,112.896,112.551,112.292,112.049,111.726,111.254,110.681,109.966,109.162,108.344,107.568,106.945,106.367,105.806,105.224,104.587,103.974,103.32,102.635,101.931,101.218,100.581,99.939,99.301,98.675,98.065,97.566,97.093,96.618,96.103,95.519,94.94,94.3,93.628,92.961,92.325,91.825,91.362,90.906,90.425,89.893,89.39,88.826,88.198,87.513,86.786
"Bosnia and Herzegovina",0,52.677,47.374,44.448,42.897,42.19,42.012,42.26,42.63,43.163,43.961,45.1,46.572,48.152,49.508,50.208,49.968,48.611,46.323,43.655,41.393,40.103,40.111,41.089,42.528,43.69,44.044,43.217,41.628,39.684,37.987,36.971,36.784,37.19,37.921,38.577,38.846,38.894,38.611,37.839,36.426,34.355,32.456,29.884,27.186,25.036,23.859,23.125,23.403,24.16,24.641,24.308,22.655,20.193,17.476,15.319,14.287,14.731,16.27,18.303,19.958,20.616,20.244,18.925,17.054,15.229,13.894,13.066,12.688,12.644,12.735,12.808,12.768,12.741,12.705,12.64,12.531,12.36,12.127,11.869,11.637,11.471,11.391,11.373,11.393,11.417,11.417,11.393,11.346,11.279,11.201,11.12,11.04,10.953,10.855,10.736,10.593,10.424,10.234,10.034,9.835,9.647,9.474,9.314,9.172,9.049,8.947,8.871,8.818,8.781,8.749,8.715,8.677,8.637,8.596,8.558,8.528,8.512,8.502,8.494,8.478,8.45,8.415,8.369,8.312,8.247,8.174,8.104,8.029,7.949,7.865,7.775,7.687,7.598,7.509,7.42,7.333,7.261,7.195,7.133,7.077,7.027,6.99,6.96,6.937,6.917,6.897,6.882,6.868,6.849,6.819,6.775
"Burkina Faso",0,78.802,79.069,79.535,80.363,81.637,83.379,84.971,86.927,89.069,91.187,93.085,94.177,95.119,96.116,97.468,99.387,101.445,104.135,107.199,110.283,113.141,115.03,116.795,118.715,121.18,124.458,128.251,132.862,137.992,143.228,148.249,151.788,155.27,158.725,162.247,165.942,169.02,172.393,176.135,180.353,185.115,189.804,195.108,200.908,207.028,213.313,218.927,224.807,230.929,237.293,243.902,249.748,255.925,262.435,269.299,276.493,283.098,290.151,297.358,304.372,310.952,316.286,321.332,326.295,331.519,337.273,343.506,350.293,357.461,364.746,371.932,378.612,385.228,391.877,398.708,405.817,413.06,420.576,428.22,435.803,443.182,450.168,456.976,463.613,470.117,476.519,482.841,489.076,495.171,501.066,506.719,512.189,517.433,522.506,527.489,532.433,537.565,542.687,547.675,552.361,556.632,560.59,564.163,567.562,571.082,574.926,579.489,584.351,589.307,594.061,598.384,602.465,606.139,609.413,612.329,614.932,617.523,619.789,621.846,623.854,625.917,628.513,631.178,633.71,635.827,637.331,638.471,639.016,639.189,639.311,639.611,640.627,641.816,642.998,643.907,644.348,644.628,644.463,643.973,643.335,642.68,642.44,642.181,641.809,641.224,640.346,639.497,638.329,636.89,635.272,633.613
"Burundi",0,41.542,47.373,51.578,54.407,56.066,56.711,55.946,54.97,54.034,53.467,53.626,54.717,56.688,59.246,61.958,64.469,66.2,67.825,69.225,70.289,71.005,71.664,72.04,72.516,73.586,75.576,77.524,80.403,83.97,87.851,91.73,94.94,98.158,101.374,104.658,108.072,111.171,114.378,117.401,119.855,121.447,122.683,123.282,123.248,122.666,121.72,120.313,118.731,117.691,118.063,120.412,123.127,127.782,133.844,140.534,147.231,153.041,158.833,164.534,170.133,175.619,181.105,186.462,191.524,196.135,200.22,203.231,205.785,208.147,210.694,213.711,217.464,221.668,226.119,230.49,234.53,238.039,241.245,244.311,247.466,250.883,254.618,258.602,262.767,267.009,271.243,275.445,279.646,283.83,287.987,292.108,296.215,300.268,304.244,308.119,311.876,315.597,319.197,322.65,325.925,329.003,332.002,334.806,337.466,340.051,342.609,345.37,348.112,350.781,353.303,355.623,357.913,360.014,361.999,363.967,365.99,368.319,370.688,373.063,375.39,377.621,379.963,382.212,384.302,386.149,387.701,389.105,390.211,391.132,392.024,393,394.355,395.784,397.185,398.405,399.334,400.164,400.715,401.025,401.156,401.162,401.323,401.384,401.331,401.15,400.84,400.667,400.42,400.154,399.948,399.902
"Cabo Verde",0,2.417,3.794,4.772,5.331,5.512,5.369,4.929,4.406,3.885,3.477,3.298,3.379,3.732,4.24,4.739,5.102,5.24,5.258,5.172,5.026,4.869,4.851,4.816,4.79,4.799,4.859,4.924,5.04,5.199,5.388,5.593,5.725,5.878,6.037,6.185,6.311,6.41,6.485,6.547,6.608,6.677,6.661,6.659,6.645,6.587,6.466,6.277,6.031,5.775,5.57,5.459,5.474,5.581,5.734,5.864,5.923,5.843,5.694,5.514,5.364,5.285,5.317,5.418,5.547,5.647,5.678,5.617,5.491,5.331,5.178,5.064,5.005,4.985,4.986,4.984,4.96,4.907,4.834,4.753,4.676,4.613,4.568,4.536,4.514,4.492,4.467,4.439,4.408,4.374,4.341,4.308,4.28,4.252,4.224,4.195,4.164,4.133,4.099,4.065,4.029,3.994,3.963,3.932,3.9,3.868,3.835,3.804,3.773,3.74,3.707,3.673,3.641,3.608,3.576,3.546,3.518,3.496,3.477,3.459,3.439,3.416,3.391,3.362,3.331,3.302,3.275,3.252,3.231,3.212,3.193,3.172,3.148,3.124,3.098,3.072,3.047,3.024,3.001,2.979,2.957,2.935,2.914,2.893,2.872,2.851,2.83,2.811,2.793,2.775,2.757,2.738
"Cambodia",0,82.319,93.142,101.934,108.531,112.833,114.824,114.025,112.311,110.359,109.068,109.351,112.026,116.477,121.726,126.366,129.369,130.374,129.599,128.089,127.261,127.982,131.455,137.031,141.746,141.641,134.538,121.32,101.576,82.062,71.256,74.726,92.774,124.42,162.055,195.059,215.498,215.214,203.686,185.457,167.852,156.9,155.16,159.742,167.715,174.691,177.423,174.544,167.94,159.455,151.775,146.941,146.529,148.538,152.573,157.866,163.713,170.446,177.822,184.825,190.154,192.908,191.663,187.998,182.989,178.335,175.355,174.944,176.215,178.395,180.313,181.102,180.548,178.973,176.771,174.522,172.665,171.394,170.449,169.832,169.504,169.415,169.675,170.179,170.794,171.343,171.687,171.84,171.776,171.466,170.903,170.093,169.118,167.898,166.513,165.082,163.693,162.534,161.44,160.356,159.193,157.889,156.516,155.016,153.493,152.088,150.894,150.065,149.439,148.921,148.371,147.683,146.916,146.016,144.999,143.898,142.744,141.637,140.477,139.275,138.044,136.794,135.615,134.429,133.237,132.045,130.859,129.711,128.584,127.479,126.393,125.313,124.264,123.233,122.214,121.211,120.236,119.322,118.44,117.579,116.717,115.833,114.957,114.067,113.16,112.239,111.306,110.421,109.534,108.64,107.725,106.774
"Cameroon",0,75.45,77.351,79.274,81.092,82.743,84.211,85.114,86.123,87.39,89.102,91.442,94.22,97.672,101.562,105.556,109.403,112.548,115.629,118.74,122.036,125.645,129.238,133.202,137.522,142.175,147.141,151.98,157.145,162.704,168.748,175.308,182.147,189.455,196.959,204.308,211.234,217.168,222.747,227.973,232.907,237.634,242.19,246.688,251.126,255.507,259.873,264.078,268.349,273.138,278.998,286.257,294.819,304.724,315.39,326.009,335.962,344.207,351.884,359.075,365.997,372.848,379.223,385.61,391.928,398.089,404.047,409.334,414.51,419.733,425.212,431.09,437.34,443.986,450.906,457.905,464.818,471.42,477.969,484.423,490.752,496.941,502.867,508.682,514.437,520.225,526.108,532.176,538.358,544.55,550.61,556.432,562.047,567.429,572.643,577.789,582.929,588.309,593.703,598.946,603.823,608.191,612.173,615.682,618.934,622.234,625.802,630.077,634.618,639.235,643.653,647.663,651.485,654.925,658.069,661.059,663.996,667.263,670.467,673.565,676.499,679.22,682.095,684.773,687.209,689.35,691.161,693.007,694.544,695.82,696.904,697.85,699.066,700.131,701.11,702.078,703.071,704.597,706.183,707.556,708.353,708.336,707.807,706.629,705.066,703.422,701.983,701.417,701.485,702.296,703.917,706.364
"Central African Republic",0,21.213,22.283,23.147,23.862,24.464,24.977,25.234,25.51,25.823,26.194,26.647,27.019,27.513,28.109,28.779,29.496,30.106,30.786,31.486,32.141,32.711,33.215,33.672,34.135,34.68,35.367,35.862,36.499,37.344,38.478,39.942,41.595,43.574,45.638,47.469,48.844,49.977,50.694,51.19,51.744,52.566,53.205,54.11,55.267,56.641,58.195,60.108,62.186,64.312,66.329,68.115,69.645,70.919,72.002,72.999,73.982,75.182,76.401,77.436,78.028,78.02,77.936,77.362,76.574,75.937,75.717,75.06,74.862,75.156,75.962,77.274,78.69,80.608,82.792,84.929,86.778,87.925,88.783,89.413,89.946,90.487,91.001,91.52,92.009,92.422,92.726,92.896,92.98,93.003,92.999,92.994,92.978,92.966,92.968,92.99,93.032,93.091,93.18,93.276,93.35,93.379,93.347,93.277,93.183,93.084,92.997,92.944,92.904,92.863,92.807,92.72,92.63,92.514,92.36,92.158,91.9,91.622,91.292,90.919,90.518,90.099,89.72,89.33,88.924,88.499,88.05,87.63,87.194,86.743,86.279,85.803,85.359,84.906,84.453,84.012,83.59,83.231,82.893,82.555,82.188,81.77,81.321,80.828,80.307,79.776,79.249,78.764,78.305,77.871,77.457,77.055
"Chad",0,42.615,46.027,48.796,50.966,52.564,53.618,53.792,53.815,53.836,54.051,54.66,55.622,57.104,58.928,60.833,62.628,63.987,65.269,66.666,68.435,70.742,73.403,76.595,80.021,83.279,86.094,88.338,90.245,92.003,93.886,96.109,98.102,100.492,103.337,106.688,110.564,114.119,118.256,122.831,127.653,132.591,137.323,142.217,147.311,152.662,158.307,163.515,169.028,174.908,181.237,188.043,194.577,201.613,208.855,215.94,222.631,229.034,235.099,240.994,246.952,253.116,258.913,264.963,271.169,277.42,283.65,289.859,296.106,302.373,308.644,314.889,320.739,326.606,332.453,338.243,343.952,349.254,354.532,359.778,365,370.198,375.093,380.019,384.91,389.689,394.302,398.447,402.472,406.432,410.411,414.462,418.449,422.548,426.634,430.542,434.154,437.242,440.087,442.783,445.476,448.269,451.16,454.174,457.227,460.197,462.989,465.553,467.977,470.259,472.413,474.45,476.415,478.286,480.059,481.734,483.313,484.906,486.428,487.854,489.16,490.324,491.485,492.519,493.43,494.226,494.911,495.692,496.381,496.927,497.264,497.35,497.369,497.16,496.774,496.288,495.76,495.462,495.139,494.742,494.197,493.452,492.724,491.822,490.78,489.636,488.422,487.399,486.347,485.248,484.072,482.77
