"dose","param","type","country","value"
"DTP1","Scale","Mid","Angola","10.4702934"
"DTP1","Scale","Low","Angola","8.925432068"
"DTP1","Scale","High","Angola","13.59504236"
"DTP1","Scale","Source","Angola","2m schedule (n=23)"
"DTP1","Shape","Mid","Angola","5.757823944"
"DTP1","Shape","Low","Angola","5.757823944"
"DTP1","Shape","High","Angola","5.757823944"
"DTP1","Shape","Source","Angola","2m schedule (n=23)"
"DTP2","Shift","Mid","Angola","0"
"DTP2","Shift","Low","Angola","0"
"DTP2","Shift","High","Angola","0"
"DTP2","Shift","Source","Angola","WHO schedules database"
"DTP2","Scale","Mid","Angola","20.06838989"
"DTP2","Scale","Low","Angola","17.76549891"
"DTP2","Scale","High","Angola","23.65967542"
"DTP2","Scale","Source","Angola","4m schedule (n=17)"
"DTP2","Shape","Mid","Angola","7.156065941"
"DTP2","Shape","Low","Angola","7.156065941"
"DTP2","Shape","High","Angola","7.156065941"
"DTP2","Shape","Source","Angola","4m schedule (n=17)"
"DTP3","Shift","Mid","Angola","0"
"DTP3","Shift","Low","Angola","0"
"DTP3","Shift","High","Angola","0"
"DTP3","Shift","Source","Angola","WHO schedules database"
"DTP3","Scale","Mid","Angola","29.54562926"
"DTP3","Scale","Low","Angola","26.24583081"
"DTP3","Scale","High","Angola","34.25329411"
"DTP3","Scale","Source","Angola","6m schedule (n=17)"
"DTP3","Shape","Mid","Angola","8.138547838"
"DTP3","Shape","Low","Angola","8.138547838"
"DTP3","Shape","High","Angola","8.138547838"
"DTP3","Shape","Source","Angola","6m schedule (n=17)"
"DTP1","Shift","Mid","Armenia","0"
"DTP1","Shift","Low","Armenia","0"
"DTP1","Shift","High","Armenia","0"
"DTP1","Shift","Source","Armenia","WHO schedules database"
"DTP1","Scale","Mid","Armenia","13.77584089"
"DTP1","Scale","Low","Armenia","10.42995777"
"DTP1","Scale","High","Armenia","18.19506812"
"DTP1","Scale","Source","Armenia","2010_DHS6"
"DTP1","Shape","Mid","Armenia","3.948516674"
"DTP1","Shape","Low","Armenia","3.948516674"
"DTP1","Shape","High","Armenia","3.948516674"
"DTP1","Shape","Source","Armenia","2010_DHS6"
"DTP2","Shift","Mid","Armenia","0"
"DTP2","Shift","Low","Armenia","0"
"DTP2","Shift","High","Armenia","0"
"DTP2","Shift","Source","Armenia","WHO schedules database"
"DTP2","Scale","Mid","Armenia","21.90049064"
"DTP2","Scale","Low","Armenia","17.31783205"
"DTP2","Scale","High","Armenia","27.69581603"
"DTP2","Scale","Source","Armenia","2010_DHS6"
"DTP2","Shape","Mid","Armenia","4.679479718"
"DTP2","Shape","Low","Armenia","4.679479718"
"DTP2","Shape","High","Armenia","4.679479718"
"DTP2","Shape","Source","Armenia","2010_DHS6"
"DTP3","Shift","Mid","Armenia","0"
"DTP3","Shift","Low","Armenia","0"
"DTP3","Shift","High","Armenia","0"
"DTP3","Shift","Source","Armenia","WHO schedules database"
"DTP3","Scale","Mid","Armenia","31.08822194"
"DTP3","Scale","Low","Armenia","24.7439367"
"DTP3","Scale","High","Armenia","39.0591665"
"DTP3","Scale","Source","Armenia","2010_DHS6"
"DTP3","Shape","Mid","Armenia","4.813227803"
"DTP3","Shape","Low","Armenia","4.813227803"
"DTP3","Shape","High","Armenia","4.813227803"
"DTP3","Shape","Source","Armenia","2010_DHS6"
"DTP1","Shift","Mid","Azerbaijan","0"
"DTP1","Shift","Low","Azerbaijan","0"
"DTP1","Shift","High","Azerbaijan","0"
"DTP1","Shift","Source","Azerbaijan","WHO schedules database"
"DTP1","Scale","Mid","Azerbaijan","10.4702934"
"DTP1","Scale","Low","Azerbaijan","8.925432068"
"DTP1","Scale","High","Azerbaijan","13.59504236"
"DTP1","Scale","Source","Azerbaijan","2m schedule (n=23)"
"DTP1","Shape","Mid","Azerbaijan","5.757823944"
