Country,age,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Afghanistan,80,1.03,1.21,1.41,1.66,1.94,2.28,2.67,3.12,3.66,4.29,5.023,5.885,6.697,7.602,8.56,9.724,8.999,7.066,7.298,13.538,15.536,19.709,23.184,26.7,33.115,41.895,52.657,64.605,79.99,100.306,124.31,157.113,202.92,253.937,315.356,400.568,516.134,629.914,738.899,820.635,909.647
Afghanistan,85,0.06,0.08,0.1,0.13,0.17,0.22,0.29,0.38,0.5,0.66,0.863,1.131,1.426,1.732,2.074,2.456,2.596,2.044,2.014,3.271,4.631,5.561,7.213,8.693,10.185,12.815,16.438,20.925,25.983,32.53,41.221,51.631,66.09,86.477,109.716,138.718,180.929,239.347,300.287,363.746,418.221
Afghanistan,90,0,0,0,0.01,0.01,0.01,0.02,0.02,0.04,0.05,0.078,0.114,0.162,0.22,0.285,0.362,0.451,0.506,0.417,0.425,0.708,1.025,1.261,1.673,2.053,2.437,3.109,4.039,5.202,6.533,8.264,10.586,13.449,17.47,23.216,30.118,39.44,53.276,73.124,95.929,122.014
Afghanistan,95,0,0,0,0,0,0,0,0,0,0,0.004,0.006,0.009,0.015,0.02,0.029,0.036,0.048,0.057,0.049,0.051,0.085,0.126,0.158,0.215,0.266,0.319,0.411,0.539,0.701,0.886,1.133,1.471,1.897,2.503,3.41,4.618,6.315,8.923,12.968,18.122
Afghanistan,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.002,0.002,0.003,0.004,0.003,0.004,0.006,0.009,0.011,0.015,0.019,0.023,0.03,0.039,0.051,0.065,0.083,0.109,0.142,0.191,0.269,0.379,0.54,0.806,1.247
Albania,0,14.56,17.55,21.14,25.48,30.7,36.99,44.57,53.7,64.7,77.96,93.94,113.19,139.054,158.108,159.896,167.014,173.925,185.365,201.978,174.235,145.988,115.53,92.622,89.508,86.564,79.819,68.824,59.2,53.613,51.173,48.923,45.315,40.426,35.968,32.509,29.978,27.775,25.35,22.443,19.477,16.724
Albania,5,44.67,47.57,50.65,53.94,57.44,61.16,65.13,69.35,73.85,78.64,83.744,89.176,108.528,134.909,154.767,157.576,165.383,172.31,183.918,182.062,170.652,145.086,114.017,87.899,87.732,84.824,78.448,67.824,58.229,52.658,50.23,47.988,44.39,39.507,35.056,31.602,29.074,26.876,24.452,21.548,18.585
Albania,10,45.43,47.98,50.68,53.53,56.54,59.72,63.08,66.63,70.38,74.34,78.522,82.939,88.567,108.088,134.365,154.123,157.055,164.757,171.807,169.076,173.704,165.542,143.12,108.608,86.957,86.8,84.085,77.902,67.295,57.714,52.151,49.727,47.49,43.895,39.017,34.569,31.119,28.591,26.395,23.973,21.068
Albania,15,12.04,14.27,16.91,20.04,23.75,28.15,33.36,39.54,46.85,55.53,65.807,77.989,82.53,88.292,107.693,133.794,153.57,156.488,164.207,150.591,143.946,160.435,150.063,122.795,106.218,84.625,84.953,82.723,76.559,65.975,56.41,50.856,48.44,46.207,42.617,37.743,33.3,29.852,27.327,25.131,22.711
Albania,20,17.69,19.91,22.41,25.23,28.39,31.96,35.97,40.48,45.57,51.29,57.723,64.969,77.219,81.963,87.672,106.89,132.964,152.66,155.586,125.101,115.519,120.16,131.997,136.171,117.374,100.854,80.425,81.868,79.657,73.516,62.957,53.411,47.871,45.46,43.233,39.649,34.782,30.343,26.901,24.377,22.186
Albania,25,1.98,2.69,3.65,4.95,6.71,9.11,12.36,16.76,22.74,30.85,41.847,56.769,64.137,76.524,81.189,86.781,105.975,131.889,151.423,105.924,103.859,89.462,97.57,128.652,129.317,110.599,95.529,76.553,78.008,75.818,69.702,59.17,49.646,44.118,41.715,39.494,35.916,31.055,26.622,23.183,20.664
Albania,30,28.32,29.3,30.3,31.34,32.42,33.53,34.68,35.87,37.11,38.38,39.697,41.06,55.948,63.489,75.718,80.264,85.942,105.025,130.679,108.267,103.294,89.306,78.564,95.215,122.633,123.324,105.893,92.088,73.183,74.651,72.484,66.393,55.892,46.39,40.875,38.48,36.265,32.693,27.841,23.415,19.981
Albania,35,17.61,18.92,20.33,21.85,23.48,25.24,27.12,29.14,31.32,33.65,36.166,38.865,40.404,55.34,62.774,74.805,79.445,85.142,104.036,98.925,115.345,96.565,84.539,79.279,90.658,117.978,119.587,103.144,89.428,70.617,72.107,69.967,63.909,53.444,43.975,38.477,36.091,33.884,30.324,25.481,21.063
Albania,40,9.09,10.29,11.63,13.16,14.89,16.84,19.05,21.55,24.37,27.57,31.188,35.279,38.142,39.899,54.629,61.918,73.941,78.607,84.267,82.051,111.252,109.736,89.863,83.065,75.896,87.23,115.018,117.279,100.991,87.396,68.713,70.227,68.12,62.107,51.692,42.26,36.787,34.414,32.219,28.674,23.843
Albania,45,3.22,3.94,4.83,5.93,7.27,8.91,10.92,13.39,16.41,20.12,24.666,30.239,34.449,37.525,39.227,53.649,60.961,72.862,77.527,69.115,93.463,106.738,102.944,91.363,80.264,73.239,84.922,112.923,115.254,99.169,85.74,67.227,68.769,66.707,60.751,50.402,41.026,35.587,33.231,31.054,27.526
Albania,50,19.53,19.88,20.23,20.59,20.95,21.32,21.69,22.08,22.47,22.86,23.264,23.674,29.268,33.642,36.591,38.171,52.365,59.533,71.262,66.506,76.438,89.766,100.071,102.318,88.504,77.699,71.142,83.008,110.742,113.17,97.386,84.186,65.915,67.494,65.49,59.612,49.363,40.066,34.678,32.35,30.199
Albania,55,0.5,0.7,0.99,1.4,1.97,2.78,3.92,5.54,7.81,11.03,15.561,21.961,22.578,28.215,32.329,35.027,36.675,50.304,57.324,62.376,66.76,73.122,81.866,95.709,98.654,85.396,75.19,69.093,80.842,108.19,110.758,95.392,82.512,64.579,66.201,64.276,58.509,48.406,39.23,33.915,31.628
