"Country","age","1900","1905","1910","1915","1920","1925","1930","1935","1940","1945","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Afghanistan",80,"0.33","0.42","0.54","0.69","0.88","1.13","1.44","1.85","2.36","3.02",3.863,4.94,5.974,7.145,8.435,9.981,9.683,6.756,8.134,15.624,18.798,23.777,27.743,33.876,42.49,53.702,74.71,83.89,103.305,128.505,162.8,206.736,268.582,349.419,435.357,577.331,761.161,921.802,1080.654,1176.043,1277.543
"Afghanistan",85,"0.01","0.02","0.03","0.05","0.07","0.10","0.14","0.21","0.31","0.45",0.663,0.972,1.337,1.725,2.174,2.696,2.877,2.178,1.969,3.956,5.957,7.472,9.648,11.513,14.275,18.155,23.236,32.774,37.461,46.917,60.003,78.118,101.736,136.324,182.754,234.109,319.109,432.866,538.525,647.343,721.69
"Afghanistan",90,"0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.02","0.04",0.061,0.104,0.165,0.244,0.336,0.448,0.586,0.661,0.526,0.49,1.007,1.543,1.974,2.598,3.139,3.938,5.06,6.558,9.426,10.971,14.237,18.866,25.383,34.502,48.206,67.18,89.491,127.158,179.427,231.593,288.502
"Afghanistan",95,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",0.003,0.006,0.01,0.018,0.03,0.042,0.059,0.082,0.096,0.078,0.075,0.153,0.241,0.31,0.414,0.503,0.633,0.821,1.081,1.583,1.919,2.595,3.578,5.078,7.277,10.68,15.662,22.057,33.048,48.997,66.386
"Afghanistan",100,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",0,0,0,0.001,0.001,0.002,0.003,0.005,0.007,0.009,0.007,0.007,0.014,0.022,0.028,0.037,0.045,0.057,0.075,0.099,0.15,0.191,0.266,0.387,0.579,0.875,1.356,2.12,3.19,5.045,7.936
"Albania",0,"8.67","10.91","13.74","17.30","21.79","27.43","34.54","43.50","54.77","68.97",86.84,109.347,133.862,151.614,152.476,158.216,162.19,171.548,188.264,161.796,133.847,103.875,81.239,81.53,79.714,61.639,46.276,35.778,32.612,30.297,27.047,22.545,17.797,13.943,11.36,9.505,7.71,5.681,3.491,1.465,0.084
"Albania",5,"24.81","27.67","30.87","34.44","38.42","42.86","47.82","53.34","59.51","66.39",74.061,82.621,105.071,130.256,148.745,150.56,156.642,160.859,170.479,172.577,158.429,133.244,100.329,76.159,79.822,78.002,60.311,45.322,34.845,31.688,29.38,26.136,21.642,16.898,13.048,10.47,8.617,6.823,4.795,2.607,0.581
"Albania",10,"33.74","36.20","38.84","41.67","44.71","47.97","51.47","55.22","59.25","63.57",68.203,73.177,81.899,104.566,129.654,148.17,150.08,156.248,160.551,159.499,166.599,154.756,130.656,95.918,75.224,78.886,77.258,59.776,44.803,34.337,31.184,28.879,25.638,21.146,16.405,12.558,9.98,8.128,6.334,4.308,2.117
"Albania",15,"8.07","9.79","11.87","14.40","17.47","21.20","25.72","31.20","37.86","45.93",55.716,67.594,72.696,81.607,104.156,129.202,147.746,149.753,155.994,146.593,145.682,157.519,134.518,116.716,93.379,72.72,76.902,75.807,58.346,43.39,32.935,29.788,27.486,24.248,19.759,15.023,11.176,8.601,6.748,4.958,2.925
"Albania",20,"17.60","19.52","21.64","24.00","26.62","29.52","32.74","36.31","40.26","44.65",49.521,54.919,66.856,72.215,81.068,103.568,128.603,147.218,149.349,134.774,123.98,129.889,121.726,121.98,110.982,87.691,68.263,73.639,72.552,55.115,40.18,29.737,26.592,24.294,21.06,16.574,11.842,7.997,5.424,3.574,1.781
"Albania",25,"11.25","12.85","14.68","16.77","19.15","21.88","25.00","28.56","32.62","37.27",42.573,48.635,54.165,66.294,71.599,80.468,102.936,127.991,146.685,123.389,113.861,102.159,101.674,107.119,115.006,104.032,82.238,64.299,69.674,68.594,51.182,36.263,25.831,22.692,20.396,17.167,12.686,7.955,4.114,1.542,0.135
