"country","age","pathogen","disease","scenario","Mid","Low","High"
"Afghanistan","0-4","Hib","Hib meningitis","Cases",54,21,83
"Albania","0-4","Hib","Hib meningitis","Cases",11,2,24
"Algeria","0-4","Hib","Hib meningitis","Cases",7,1,12
"Angola","0-4","Hib","Hib meningitis","Cases",45,21,66
"Armenia","0-4","Hib","Hib meningitis","Cases",12,2,20
"Azerbaijan","0-4","Hib","Hib meningitis","Cases",8,2,12
"Bangladesh","0-4","Hib","Hib meningitis","Cases",9,3,15
"Belarus","0-4","Hib","Hib meningitis","Cases",4,1,6
"Belize","0-4","Hib","Hib meningitis","Cases",21,6,35
"Benin","0-4","Hib","Hib meningitis","Cases",36,11,59
"Bhutan","0-4","Hib","Hib meningitis","Cases",12,5,18
"Bolivia, Plurinational State of","0-4","Hib","Hib meningitis","Cases",11,3,19
"Bosnia and Herzegovina","0-4","Hib","Hib meningitis","Cases",1,0,3
"Burkina Faso","0-4","Hib","Hib meningitis","Cases",54,25,81
"Burundi","0-4","Hib","Hib meningitis","Cases",70,30,107
"Cabo Verde","0-4","Hib","Hib meningitis","Cases",43,22,71
"Cambodia","0-4","Hib","Hib meningitis","Cases",15,2,25
"Cameroon","0-4","Hib","Hib meningitis","Cases",30,9,50
"Central African Republic","0-4","Hib","Hib meningitis","Cases",60,17,99
"Chad","0-4","Hib","Hib meningitis","Cases",63,20,102
"China","0-4","Hib","Hib meningitis","Cases",15,8,25
"Colombia","0-4","Hib","Hib meningitis","Cases",9,1,15
"Comoros","0-4","Hib","Hib meningitis","Cases",20,6,35
"Congo","0-4","Hib","Hib meningitis","Cases",14,4,22
"Cote d'Ivoire","0-4","Hib","Hib meningitis","Cases",24,8,40
"Cuba","0-4","Hib","Hib meningitis","Cases",14,4,23
"Korea, Democratic People's Republic of","0-4","Hib","Hib meningitis","Cases",17,2,29
"Congo, the Democratic Republic of the","0-4","Hib","Hib meningitis","Cases",56,18,91
"Djibouti","0-4","Hib","Hib meningitis","Cases",63,36,98
"Ecuador","0-4","Hib","Hib meningitis","Cases",80,35,141
"Egypt","0-4","Hib","Hib meningitis","Cases",5,1,9
"El Salvador","0-4","Hib","Hib meningitis","Cases",15,3,26
"Eritrea","0-4","Hib","Hib meningitis","Cases",24,7,40
"Ethiopia","0-4","Hib","Hib meningitis","Cases",20,5,34
"Fiji","0-4","Hib","Hib meningitis","Cases",205,118,289
"Gambia","0-4","Hib","Hib meningitis","Cases",42,16,66
"Georgia","0-4","Hib","Hib meningitis","Cases",3,0,6
"Ghana","0-4","Hib","Hib meningitis","Cases",18,6,29
"Guatemala","0-4","Hib","Hib meningitis","Cases",15,2,25
"Guinea","0-4","Hib","Hib meningitis","Cases",35,11,57
"Guinea-Bissau","0-4","Hib","Hib meningitis","Cases",32,10,53
"Guyana","0-4","Hib","Hib meningitis","Cases",40,17,60
"Haiti","0-4","Hib","Hib meningitis","Cases",34,8,57
"Honduras","0-4","Hib","Hib meningitis","Cases",9,1,17
"India","0-4","Hib","Hib meningitis","Cases",22,9,34
"Indonesia","0-4","Hib","Hib meningitis","Cases",14,3,24
"Iran, Islamic Republic of","0-4","Hib","Hib meningitis","Cases",5,1,8
"Iraq","0-4","Hib","Hib meningitis","Cases",8,3,13
"Jamaica","0-4","Hib","Hib meningitis","Cases",6,1,10
"Jordan","0-4","Hib","Hib meningitis","Cases",6,1,10
"Kenya","0-4","Hib","Hib meningitis","Cases",21,8,34
"Kiribati","0-4","Hib","Hib meningitis","Cases",64,37,82
"Kosovo","0-4","Hib","Hib meningitis","Cases",11,2,24
"Kyrgyzstan","0-4","Hib","Hib meningitis","Cases",11,1,18
"Lao People's Democratic Republic","0-4","Hib","Hib meningitis","Cases",27,9,43
"Lesotho","0-4","Hib","Hib meningitis","Cases",44,17,69
"Liberia","0-4","Hib","Hib meningitis","Cases",42,13,70
"Madagascar","0-4","Hib","Hib meningitis","Cases",24,7,40
"Malawi","0-4","Hib","Hib meningitis","Cases",47,18,74
"Mali","0-4","Hib","Hib meningitis","Cases",43,14,68
"Marshall Islands","0-4","Hib","Hib meningitis","Cases",22,11,28
"Mauritania","0-4","Hib","Hib meningitis","Cases",31,10,50
"Micronesia, Federated States of","0-4","Hib","Hib meningitis","Cases",22,11,28
"Mongolia","0-4","Hib","Hib meningitis","Cases",45,22,72
"Morocco","0-4","Hib","Hib meningitis","Cases",10,2,18
"Mozambique","0-4","Hib","Hib meningitis","Cases",33,10,55
"Myanmar","0-4","Hib","Hib meningitis","Cases",23,9,36
"Namibia","0-4","Hib","Hib meningitis","Cases",19,7,29
"Nepal","0-4","Hib","Hib meningitis","Cases",10,3,16
"Nicaragua","0-4","Hib","Hib meningitis","Cases",15,2,27
"Niger","0-4","Hib","Hib meningitis","Cases",66,24,104
"Nigeria","0-4","Hib","Hib meningitis","Cases",28,8,46
"Pakistan","0-4","Hib","Hib meningitis","Cases",28,11,43
"Palestine, State of","0-4","Hib","Hib meningitis","Cases",5,2,8
"Papua New Guinea","0-4","Hib","Hib meningitis","Cases",49,24,64
"Paraguay","0-4","Hib","Hib meningitis","Cases",53,23,94
"Peru","0-4","Hib","Hib meningitis","Cases",10,1,18
"Philippines","0-4","Hib","Hib meningitis","Cases",13,2,21
"Moldova, Republic of","0-4","Hib","Hib meningitis","Cases",8,2,16
"Rwanda","0-4","Hib","Hib meningitis","Cases",19,6,32
"Samoa","0-4","Hib","Hib meningitis","Cases",68,39,96
"Sao Tome and Principe","0-4","Hib","Hib meningitis","Cases",31,13,48
"Senegal","0-4","Hib","Hib meningitis","Cases",23,7,38
"Serbia","0-4","Hib","Hib meningitis","Cases",2,1,5
"Sierra Leone","0-4","Hib","Hib meningitis","Cases",77,33,119
"Solomon Islands","0-4","Hib","Hib meningitis","Cases",33,9,44
"Somalia","0-4","Hib","Hib meningitis","Cases",66,18,109
"South Africa","0-4","Hib","Hib meningitis","Cases",18,7,27
"South Sudan","0-4","Hib","Hib meningitis","Cases",35,12,56
"Sri Lanka","0-4","Hib","Hib meningitis","Cases",3,0,5
"Sudan","0-4","Hib","Hib meningitis","Cases",27,8,46
"Swaziland","0-4","Hib","Hib meningitis","Cases",28,10,44
"Syrian Arab Republic","0-4","Hib","Hib meningitis","Cases",5,2,8
"Tajikistan","0-4","Hib","Hib meningitis","Cases",29,10,45
"Macedonia, the former Yugoslav Republic of","0-4","Hib","Hib meningitis","Cases",12,4,23
"Thailand","0-4","Hib","Hib meningitis","Cases",4,1,6
"Timor-Leste","0-4","Hib","Hib meningitis","Cases",35,14,54
"Togo","0-4","Hib","Hib meningitis","Cases",35,12,56
"Tonga","0-4","Hib","Hib meningitis","Cases",107,62,151
"Tunisia","0-4","Hib","Hib meningitis","Cases",2,0,4
"Turkmenistan","0-4","Hib","Hib meningitis","Cases",18,6,29
"Tuvalu","0-4","Hib","Hib meningitis","Cases",107,62,151
"Uganda","0-4","Hib","Hib meningitis","Cases",47,21,71
"Ukraine","0-4","Hib","Hib meningitis","Cases",6,2,11
"Tanzania, United Republic of","0-4","Hib","Hib meningitis","Cases",36,14,56
"Uzbekistan","0-4","Hib","Hib meningitis","Cases",18,7,28
"Vanuatu","0-4","Hib","Hib meningitis","Cases",30,8,41
"Venezuela, Bolivarian Republic of","0-4","Hib","Hib meningitis","Cases",9,1,16
"Viet Nam","0-4","Hib","Hib meningitis","Cases",16,4,26
"Yemen","0-4","Hib","Hib meningitis","Cases",12,3,19
"Zambia","0-4","Hib","Hib meningitis","Cases",34,13,54
"Zimbabwe","0-4","Hib","Hib meningitis","Cases",37,13,61
"Afghanistan","0-4","Hib","Hib meningitis","Deaths",25,10,38
"Albania","0-4","Hib","Hib meningitis","Deaths",3,0,7
"Algeria","0-4","Hib","Hib meningitis","Deaths",2,0,4
"Angola","0-4","Hib","Hib meningitis","Deaths",31,14,45
"Armenia","0-4","Hib","Hib meningitis","Deaths",3,1,5
"Azerbaijan","0-4","Hib","Hib meningitis","Deaths",4,1,7
"Bangladesh","0-4","Hib","Hib meningitis","Deaths",5,2,9
"Belarus","0-4","Hib","Hib meningitis","Deaths",0,0,1
"Belize","0-4","Hib","Hib meningitis","Deaths",3,1,5
"Benin","0-4","Hib","Hib meningitis","Deaths",24,7,39
"Bhutan","0-4","Hib","Hib meningitis","Deaths",4,2,6
"Bolivia, Plurinational State of","0-4","Hib","Hib meningitis","Deaths",5,2,9
"Bosnia and Herzegovina","0-4","Hib","Hib meningitis","Deaths",0,0,0
"Burkina Faso","0-4","Hib","Hib meningitis","Deaths",21,9,31
"Burundi","0-4","Hib","Hib meningitis","Deaths",29,12,44
"Cabo Verde","0-4","Hib","Hib meningitis","Deaths",2,1,3
"Cambodia","0-4","Hib","Hib meningitis","Deaths",5,1,9
"Cameroon","0-4","Hib","Hib meningitis","Deaths",21,6,35
"Central African Republic","0-4","Hib","Hib meningitis","Deaths",42,12,69
"Chad","0-4","Hib","Hib meningitis","Deaths",41,13,67
"China","0-4","Hib","Hib meningitis","Deaths",1,0,1
"Colombia","0-4","Hib","Hib meningitis","Deaths",3,0,5
"Comoros","0-4","Hib","Hib meningitis","Deaths",13,4,22
"Congo","0-4","Hib","Hib meningitis","Deaths",7,2,11
"Cote d'Ivoire","0-4","Hib","Hib meningitis","Deaths",15,5,24
"Cuba","0-4","Hib","Hib meningitis","Deaths",1,0,2
"Korea, Democratic People's Republic of","0-4","Hib","Hib meningitis","Deaths",5,1,9
"Congo, the Democratic Republic of the","0-4","Hib","Hib meningitis","Deaths",34,11,55
"Djibouti","0-4","Hib","Hib meningitis","Deaths",10,5,15
"Ecuador","0-4","Hib","Hib meningitis","Deaths",4,2,6
"Egypt","0-4","Hib","Hib meningitis","Deaths",2,0,3
"El Salvador","0-4","Hib","Hib meningitis","Deaths",3,1,6
"Eritrea","0-4","Hib","Hib meningitis","Deaths",13,4,22
"Ethiopia","0-4","Hib","Hib meningitis","Deaths",13,4,23
"Fiji","0-4","Hib","Hib meningitis","Deaths",9,5,13
"Gambia","0-4","Hib","Hib meningitis","Deaths",16,6,26
"Georgia","0-4","Hib","Hib meningitis","Deaths",2,0,4
"Ghana","0-4","Hib","Hib meningitis","Deaths",9,3,15
"Guatemala","0-4","Hib","Hib meningitis","Deaths",5,1,9
"Guinea","0-4","Hib","Hib meningitis","Deaths",22,7,37
"Guinea-Bissau","0-4","Hib","Hib meningitis","Deaths",21,6,35
"Guyana","0-4","Hib","Hib meningitis","Deaths",11,5,16
"Haiti","0-4","Hib","Hib meningitis","Deaths",21,5,35
"Honduras","0-4","Hib","Hib meningitis","Deaths",3,0,6
"India","0-4","Hib","Hib meningitis","Deaths",7,3,11
"Indonesia","0-4","Hib","Hib meningitis","Deaths",4,1,6
"Iran, Islamic Republic of","0-4","Hib","Hib meningitis","Deaths",1,0,2
"Iraq","0-4","Hib","Hib meningitis","Deaths",3,1,5
"Jamaica","0-4","Hib","Hib meningitis","Deaths",1,0,2
"Jordan","0-4","Hib","Hib meningitis","Deaths",1,0,2
"Kenya","0-4","Hib","Hib meningitis","Deaths",9,3,14
"Kiribati","0-4","Hib","Hib meningitis","Deaths",18,10,23
"Kosovo","0-4","Hib","Hib meningitis","Deaths",3,0,7
"Kyrgyzstan","0-4","Hib","Hib meningitis","Deaths",4,1,7
"Lao People's Democratic Republic","0-4","Hib","Hib meningitis","Deaths",13,4,21
"Lesotho","0-4","Hib","Hib meningitis","Deaths",20,8,31
"Liberia","0-4","Hib","Hib meningitis","Deaths",23,7,38
"Madagascar","0-4","Hib","Hib meningitis","Deaths",14,4,24
"Malawi","0-4","Hib","Hib meningitis","Deaths",18,7,29
"Mali","0-4","Hib","Hib meningitis","Deaths",24,8,39
"Marshall Islands","0-4","Hib","Hib meningitis","Deaths",9,4,12
"Mauritania","0-4","Hib","Hib meningitis","Deaths",18,6,29
"Micronesia, Federated States of","0-4","Hib","Hib meningitis","Deaths",9,4,12
"Mongolia","0-4","Hib","Hib meningitis","Deaths",2,1,3
"Morocco","0-4","Hib","Hib meningitis","Deaths",3,1,5
"Mozambique","0-4","Hib","Hib meningitis","Deaths",21,6,35
"Myanmar","0-4","Hib","Hib meningitis","Deaths",8,3,13
"Namibia","0-4","Hib","Hib meningitis","Deaths",7,3,11
"Nepal","0-4","Hib","Hib meningitis","Deaths",5,2,8
"Nicaragua","0-4","Hib","Hib meningitis","Deaths",5,1,9
"Niger","0-4","Hib","Hib meningitis","Deaths",33,12,53
"Nigeria","0-4","Hib","Hib meningitis","Deaths",19,6,31
"Pakistan","0-4","Hib","Hib meningitis","Deaths",12,5,19
"Palestine, State of","0-4","Hib","Hib meningitis","Deaths",0,0,0
"Papua New Guinea","0-4","Hib","Hib meningitis","Deaths",20,10,26
"Paraguay","0-4","Hib","Hib meningitis","Deaths",2,1,4
"Peru","0-4","Hib","Hib meningitis","Deaths",4,0,7
"Philippines","0-4","Hib","Hib meningitis","Deaths",4,1,7
"Moldova, Republic of","0-4","Hib","Hib meningitis","Deaths",1,0,3
"Rwanda","0-4","Hib","Hib meningitis","Deaths",10,3,16
"Samoa","0-4","Hib","Hib meningitis","Deaths",3,2,4
"Sao Tome and Principe","0-4","Hib","Hib meningitis","Deaths",10,4,15
"Senegal","0-4","Hib","Hib meningitis","Deaths",13,4,21
"Serbia","0-4","Hib","Hib meningitis","Deaths",0,0,1
"Sierra Leone","0-4","Hib","Hib meningitis","Deaths",30,13,47
"Solomon Islands","0-4","Hib","Hib meningitis","Deaths",9,2,12
"Somalia","0-4","Hib","Hib meningitis","Deaths",52,14,87
"South Africa","0-4","Hib","Hib meningitis","Deaths",6,2,9
"South Sudan","0-4","Hib","Hib meningitis","Deaths",19,7,30
"Sri Lanka","0-4","Hib","Hib meningitis","Deaths",1,0,2
"Sudan","0-4","Hib","Hib meningitis","Deaths",15,4,25
"Swaziland","0-4","Hib","Hib meningitis","Deaths",12,4,19
"Syrian Arab Republic","0-4","Hib","Hib meningitis","Deaths",0,0,0
"Tajikistan","0-4","Hib","Hib meningitis","Deaths",12,4,19
"Macedonia, the former Yugoslav Republic of","0-4","Hib","Hib meningitis","Deaths",1,0,2
"Thailand","0-4","Hib","Hib meningitis","Deaths",1,0,1
"Timor-Leste","0-4","Hib","Hib meningitis","Deaths",12,5,19
"Togo","0-4","Hib","Hib meningitis","Deaths",19,7,31
"Tonga","0-4","Hib","Hib meningitis","Deaths",5,3,7
"Tunisia","0-4","Hib","Hib meningitis","Deaths",1,0,1
"Turkmenistan","0-4","Hib","Hib meningitis","Deaths",8,3,13
"Tuvalu","0-4","Hib","Hib meningitis","Deaths",5,3,7
"Uganda","0-4","Hib","Hib meningitis","Deaths",14,6,21
"Ukraine","0-4","Hib","Hib meningitis","Deaths",1,0,1
"Tanzania, United Republic of","0-4","Hib","Hib meningitis","Deaths",12,5,19
"Uzbekistan","0-4","Hib","Hib meningitis","Deaths",7,3,10
"Vanuatu","0-4","Hib","Hib meningitis","Deaths",9,2,11
"Venezuela, Bolivarian Republic of","0-4","Hib","Hib meningitis","Deaths",2,0,4
"Viet Nam","0-4","Hib","Hib meningitis","Deaths",3,1,5
"Yemen","0-4","Hib","Hib meningitis","Deaths",8,2,13
"Zambia","0-4","Hib","Hib meningitis","Deaths",13,5,20
"Zimbabwe","0-4","Hib","Hib meningitis","Deaths",18,6,29
"Afghanistan","0-4","Hib","Hib meningitis","Hosps",27,10,42
"Albania","0-4","Hib","Hib meningitis","Hosps",9,1,19
"Algeria","0-4","Hib","Hib meningitis","Hosps",5,1,8
"Angola","0-4","Hib","Hib meningitis","Hosps",23,11,33
"Armenia","0-4","Hib","Hib meningitis","Hosps",9,2,15
"Azerbaijan","0-4","Hib","Hib meningitis","Hosps",5,2,8
"Bangladesh","0-4","Hib","Hib meningitis","Hosps",6,2,10
"Belarus","0-4","Hib","Hib meningitis","Hosps",3,1,6
"Belize","0-4","Hib","Hib meningitis","Hosps",16,4,26
"Benin","0-4","Hib","Hib meningitis","Hosps",18,5,29
"Bhutan","0-4","Hib","Hib meningitis","Hosps",8,3,12
"Bolivia, Plurinational State of","0-4","Hib","Hib meningitis","Hosps",6,2,9
"Bosnia and Herzegovina","0-4","Hib","Hib meningitis","Hosps",1,0,2
"Burkina Faso","0-4","Hib","Hib meningitis","Hosps",27,12,41
"Burundi","0-4","Hib","Hib meningitis","Hosps",35,15,54
"Cabo Verde","0-4","Hib","Hib meningitis","Hosps",33,17,54
"Cambodia","0-4","Hib","Hib meningitis","Hosps",10,2,17
"Cameroon","0-4","Hib","Hib meningitis","Hosps",15,4,25
"Central African Republic","0-4","Hib","Hib meningitis","Hosps",30,9,50
"Chad","0-4","Hib","Hib meningitis","Hosps",32,10,51
"China","0-4","Hib","Hib meningitis","Hosps",12,6,19
"Colombia","0-4","Hib","Hib meningitis","Hosps",7,1,12
"Comoros","0-4","Hib","Hib meningitis","Hosps",10,3,17
"Congo","0-4","Hib","Hib meningitis","Hosps",7,2,11
"Cote d'Ivoire","0-4","Hib","Hib meningitis","Hosps",12,4,20
"Cuba","0-4","Hib","Hib meningitis","Hosps",11,3,18
"Korea, Democratic People's Republic of","0-4","Hib","Hib meningitis","Hosps",13,2,22
"Congo, the Democratic Republic of the","0-4","Hib","Hib meningitis","Hosps",28,9,46
"Djibouti","0-4","Hib","Hib meningitis","Hosps",32,18,49
"Ecuador","0-4","Hib","Hib meningitis","Hosps",60,26,107
"Egypt","0-4","Hib","Hib meningitis","Hosps",4,1,7
"El Salvador","0-4","Hib","Hib meningitis","Hosps",12,2,20
"Eritrea","0-4","Hib","Hib meningitis","Hosps",16,5,27
"Ethiopia","0-4","Hib","Hib meningitis","Hosps",10,3,17
"Fiji","0-4","Hib","Hib meningitis","Hosps",155,90,219
"Gambia","0-4","Hib","Hib meningitis","Hosps",21,8,33
"Georgia","0-4","Hib","Hib meningitis","Hosps",3,0,5
"Ghana","0-4","Hib","Hib meningitis","Hosps",9,3,15
"Guatemala","0-4","Hib","Hib meningitis","Hosps",10,1,17
"Guinea","0-4","Hib","Hib meningitis","Hosps",18,5,29
"Guinea-Bissau","0-4","Hib","Hib meningitis","Hosps",16,5,27
"Guyana","0-4","Hib","Hib meningitis","Hosps",26,11,40
"Haiti","0-4","Hib","Hib meningitis","Hosps",17,4,29
"Honduras","0-4","Hib","Hib meningitis","Hosps",6,1,11
"India","0-4","Hib","Hib meningitis","Hosps",15,6,23
"Indonesia","0-4","Hib","Hib meningitis","Hosps",10,2,16
"Iran, Islamic Republic of","0-4","Hib","Hib meningitis","Hosps",4,1,6
"Iraq","0-4","Hib","Hib meningitis","Hosps",5,2,9
"Jamaica","0-4","Hib","Hib meningitis","Hosps",5,1,8
"Jordan","0-4","Hib","Hib meningitis","Hosps",4,1,7
"Kenya","0-4","Hib","Hib meningitis","Hosps",14,5,22
"Kiribati","0-4","Hib","Hib meningitis","Hosps",43,24,54
"Kosovo","0-4","Hib","Hib meningitis","Hosps",9,1,19
"Kyrgyzstan","0-4","Hib","Hib meningitis","Hosps",8,1,14
"Lao People's Democratic Republic","0-4","Hib","Hib meningitis","Hosps",18,6,28
"Lesotho","0-4","Hib","Hib meningitis","Hosps",22,9,35
"Liberia","0-4","Hib","Hib meningitis","Hosps",21,6,35
"Madagascar","0-4","Hib","Hib meningitis","Hosps",16,5,27
"Malawi","0-4","Hib","Hib meningitis","Hosps",23,9,37
"Mali","0-4","Hib","Hib meningitis","Hosps",21,7,34
"Marshall Islands","0-4","Hib","Hib meningitis","Hosps",14,7,19
"Mauritania","0-4","Hib","Hib meningitis","Hosps",16,5,25
"Micronesia, Federated States of","0-4","Hib","Hib meningitis","Hosps",14,7,19
"Mongolia","0-4","Hib","Hib meningitis","Hosps",34,17,55
"Morocco","0-4","Hib","Hib meningitis","Hosps",7,1,12
"Mozambique","0-4","Hib","Hib meningitis","Hosps",17,5,27
"Myanmar","0-4","Hib","Hib meningitis","Hosps",15,6,24
"Namibia","0-4","Hib","Hib meningitis","Hosps",12,5,19
"Nepal","0-4","Hib","Hib meningitis","Hosps",7,2,11
"Nicaragua","0-4","Hib","Hib meningitis","Hosps",12,1,20
"Niger","0-4","Hib","Hib meningitis","Hosps",33,12,52
"Nigeria","0-4","Hib","Hib meningitis","Hosps",14,4,23
"Pakistan","0-4","Hib","Hib meningitis","Hosps",14,6,22
"Palestine, State of","0-4","Hib","Hib meningitis","Hosps",4,2,6
"Papua New Guinea","0-4","Hib","Hib meningitis","Hosps",33,16,42
"Paraguay","0-4","Hib","Hib meningitis","Hosps",35,16,63
"Peru","0-4","Hib","Hib meningitis","Hosps",7,1,12
"Philippines","0-4","Hib","Hib meningitis","Hosps",8,1,14
"Moldova, Republic of","0-4","Hib","Hib meningitis","Hosps",6,1,12
"Rwanda","0-4","Hib","Hib meningitis","Hosps",10,3,16
"Samoa","0-4","Hib","Hib meningitis","Hosps",52,30,73
"Sao Tome and Principe","0-4","Hib","Hib meningitis","Hosps",21,9,32
"Senegal","0-4","Hib","Hib meningitis","Hosps",15,4,25
"Serbia","0-4","Hib","Hib meningitis","Hosps",2,0,4
"Sierra Leone","0-4","Hib","Hib meningitis","Hosps",39,16,60
"Solomon Islands","0-4","Hib","Hib meningitis","Hosps",22,6,29
"Somalia","0-4","Hib","Hib meningitis","Hosps",33,9,55
"South Africa","0-4","Hib","Hib meningitis","Hosps",12,5,18
"South Sudan","0-4","Hib","Hib meningitis","Hosps",18,6,28
"Sri Lanka","0-4","Hib","Hib meningitis","Hosps",2,0,4
"Sudan","0-4","Hib","Hib meningitis","Hosps",14,4,23
"Swaziland","0-4","Hib","Hib meningitis","Hosps",14,5,22
"Syrian Arab Republic","0-4","Hib","Hib meningitis","Hosps",4,2,6
"Tajikistan","0-4","Hib","Hib meningitis","Hosps",19,7,30
"Macedonia, the former Yugoslav Republic of","0-4","Hib","Hib meningitis","Hosps",10,3,18
"Thailand","0-4","Hib","Hib meningitis","Hosps",3,1,5
"Timor-Leste","0-4","Hib","Hib meningitis","Hosps",23,9,36
"Togo","0-4","Hib","Hib meningitis","Hosps",17,6,28
"Tonga","0-4","Hib","Hib meningitis","Hosps",81,47,115
"Tunisia","0-4","Hib","Hib meningitis","Hosps",2,0,3
"Turkmenistan","0-4","Hib","Hib meningitis","Hosps",12,4,19
"Tuvalu","0-4","Hib","Hib meningitis","Hosps",81,47,115
"Uganda","0-4","Hib","Hib meningitis","Hosps",23,10,35
"Ukraine","0-4","Hib","Hib meningitis","Hosps",4,1,8
"Tanzania, United Republic of","0-4","Hib","Hib meningitis","Hosps",18,7,28
"Uzbekistan","0-4","Hib","Hib meningitis","Hosps",12,5,19
"Vanuatu","0-4","Hib","Hib meningitis","Hosps",20,5,27
"Venezuela, Bolivarian Republic of","0-4","Hib","Hib meningitis","Hosps",7,1,12
"Viet Nam","0-4","Hib","Hib meningitis","Hosps",12,3,19
"Yemen","0-4","Hib","Hib meningitis","Hosps",8,2,13
"Zambia","0-4","Hib","Hib meningitis","Hosps",17,7,27
"Zimbabwe","0-4","Hib","Hib meningitis","Hosps",19,6,31
"Afghanistan","0-4","Hib","Hib meningitis","Visits",27,10,42
"Albania","0-4","Hib","Hib meningitis","Visits",9,1,19
"Algeria","0-4","Hib","Hib meningitis","Visits",5,1,8
"Angola","0-4","Hib","Hib meningitis","Visits",23,11,33
"Armenia","0-4","Hib","Hib meningitis","Visits",9,2,15
"Azerbaijan","0-4","Hib","Hib meningitis","Visits",5,2,8
"Bangladesh","0-4","Hib","Hib meningitis","Visits",6,2,10
"Belarus","0-4","Hib","Hib meningitis","Visits",3,1,6
"Belize","0-4","Hib","Hib meningitis","Visits",16,4,26
"Benin","0-4","Hib","Hib meningitis","Visits",18,5,29
"Bhutan","0-4","Hib","Hib meningitis","Visits",8,3,12
"Bolivia, Plurinational State of","0-4","Hib","Hib meningitis","Visits",6,2,9
"Bosnia and Herzegovina","0-4","Hib","Hib meningitis","Visits",1,0,2
"Burkina Faso","0-4","Hib","Hib meningitis","Visits",27,12,41
"Burundi","0-4","Hib","Hib meningitis","Visits",35,15,54
"Cabo Verde","0-4","Hib","Hib meningitis","Visits",33,17,54
"Cambodia","0-4","Hib","Hib meningitis","Visits",10,2,17
"Cameroon","0-4","Hib","Hib meningitis","Visits",15,4,25
"Central African Republic","0-4","Hib","Hib meningitis","Visits",30,9,50
"Chad","0-4","Hib","Hib meningitis","Visits",32,10,51
"China","0-4","Hib","Hib meningitis","Visits",12,6,19
"Colombia","0-4","Hib","Hib meningitis","Visits",7,1,12
"Comoros","0-4","Hib","Hib meningitis","Visits",10,3,17
"Congo","0-4","Hib","Hib meningitis","Visits",7,2,11
"Cote d'Ivoire","0-4","Hib","Hib meningitis","Visits",12,4,20
"Cuba","0-4","Hib","Hib meningitis","Visits",11,3,18
"Korea, Democratic People's Republic of","0-4","Hib","Hib meningitis","Visits",13,2,22
"Congo, the Democratic Republic of the","0-4","Hib","Hib meningitis","Visits",28,9,46
"Djibouti","0-4","Hib","Hib meningitis","Visits",32,18,49
"Ecuador","0-4","Hib","Hib meningitis","Visits",60,26,107
"Egypt","0-4","Hib","Hib meningitis","Visits",4,1,7
"El Salvador","0-4","Hib","Hib meningitis","Visits",12,2,20
"Eritrea","0-4","Hib","Hib meningitis","Visits",16,5,27
"Ethiopia","0-4","Hib","Hib meningitis","Visits",10,3,17
"Fiji","0-4","Hib","Hib meningitis","Visits",155,90,219
"Gambia","0-4","Hib","Hib meningitis","Visits",21,8,33
"Georgia","0-4","Hib","Hib meningitis","Visits",3,0,5
"Ghana","0-4","Hib","Hib meningitis","Visits",9,3,15
"Guatemala","0-4","Hib","Hib meningitis","Visits",10,1,17
"Guinea","0-4","Hib","Hib meningitis","Visits",18,5,29
"Guinea-Bissau","0-4","Hib","Hib meningitis","Visits",16,5,27
"Guyana","0-4","Hib","Hib meningitis","Visits",26,11,40
"Haiti","0-4","Hib","Hib meningitis","Visits",17,4,29
"Honduras","0-4","Hib","Hib meningitis","Visits",6,1,11
"India","0-4","Hib","Hib meningitis","Visits",15,6,23
"Indonesia","0-4","Hib","Hib meningitis","Visits",10,2,16
"Iran, Islamic Republic of","0-4","Hib","Hib meningitis","Visits",4,1,6
"Iraq","0-4","Hib","Hib meningitis","Visits",5,2,9
"Jamaica","0-4","Hib","Hib meningitis","Visits",5,1,8
"Jordan","0-4","Hib","Hib meningitis","Visits",4,1,7
"Kenya","0-4","Hib","Hib meningitis","Visits",14,5,22
"Kiribati","0-4","Hib","Hib meningitis","Visits",43,24,54
"Kosovo","0-4","Hib","Hib meningitis","Visits",9,1,19
"Kyrgyzstan","0-4","Hib","Hib meningitis","Visits",8,1,14
"Lao People's Democratic Republic","0-4","Hib","Hib meningitis","Visits",18,6,28
"Lesotho","0-4","Hib","Hib meningitis","Visits",22,9,35
"Liberia","0-4","Hib","Hib meningitis","Visits",21,6,35
"Madagascar","0-4","Hib","Hib meningitis","Visits",16,5,27
"Malawi","0-4","Hib","Hib meningitis","Visits",23,9,37
"Mali","0-4","Hib","Hib meningitis","Visits",21,7,34
"Marshall Islands","0-4","Hib","Hib meningitis","Visits",14,7,19
"Mauritania","0-4","Hib","Hib meningitis","Visits",16,5,25
"Micronesia, Federated States of","0-4","Hib","Hib meningitis","Visits",14,7,19
"Mongolia","0-4","Hib","Hib meningitis","Visits",34,17,55
"Morocco","0-4","Hib","Hib meningitis","Visits",7,1,12
"Mozambique","0-4","Hib","Hib meningitis","Visits",17,5,27
"Myanmar","0-4","Hib","Hib meningitis","Visits",15,6,24
"Namibia","0-4","Hib","Hib meningitis","Visits",12,5,19
"Nepal","0-4","Hib","Hib meningitis","Visits",7,2,11
"Nicaragua","0-4","Hib","Hib meningitis","Visits",12,1,20
"Niger","0-4","Hib","Hib meningitis","Visits",33,12,52
"Nigeria","0-4","Hib","Hib meningitis","Visits",14,4,23
