"country","mortality_group","pathogen","brand","Dose","efficacy","scaling_factor","gamma_params","mid","low","high"
"India","High","Hib","Hib vaccine","D3","E2",0.7,"beta",100,100,100
"China","Medium","Sp","PCV13","D1","E1",1,"VE",0.29,0.15,0.38
"China","Medium","Sp","PCV13","D1","E1",1,"Mean",10000,10000,10000
"China","Medium","Sp","PCV13","D1","E1",1,"alpha",100,100,100
"China","Medium","Sp","PCV13","D1","E1",1,"beta",100,100,100
"China","Medium","Sp","PCV13","D2","E1",1,"VE",0.58,0.29,0.75
"China","Medium","Sp","PCV13","D2","E1",1,"Mean",10000,10000,10000
"China","Medium","Sp","PCV13","D2","E1",1,"alpha",100,100,100
"China","Medium","Sp","PCV13","D2","E1",1,"beta",100,100,100
"China","Medium","Sp","PCV13","D3","E1",1,"VE",0.58,0.29,0.75
"China","Medium","Sp","PCV13","D3","E1",1,"Mean",10000,10000,10000
"China","Medium","Sp","PCV13","D3","E1",1,"alpha",100,100,100
"China","Medium","Sp","PCV13","D3","E1",1,"beta",100,100,100
"China","Medium","Sp","PCV13","D1","E2",0.7,"VE",0.203,0.105,0.266
"China","Medium","Sp","PCV13","D1","E2",0.7,"Mean",10000,10000,10000
"China","Medium","Sp","PCV13","D1","E2",0.7,"alpha",100,100,100
"China","Medium","Sp","PCV13","D1","E2",0.7,"beta",100,100,100
"China","Medium","Sp","PCV13","D2","E2",0.7,"VE",0.406,0.203,0.525
"China","Medium","Sp","PCV13","D2","E2",0.7,"Mean",10000,10000,10000
"China","Medium","Sp","PCV13","D2","E2",0.7,"alpha",100,100,100
"China","Medium","Sp","PCV13","D2","E2",0.7,"beta",100,100,100
"China","Medium","Sp","PCV13","D3","E2",0.7,"VE",0.406,0.203,0.525
"China","Medium","Sp","PCV13","D3","E2",0.7,"Mean",10000,10000,10000
"China","Medium","Sp","PCV13","D3","E2",0.7,"alpha",100,100,100
"China","Medium","Sp","PCV13","D3","E2",0.7,"beta",100,100,100
"China","Medium","Rota","ROTARIX","D1","E1",1,"VE",0.58,0.45,0.74
"China","Medium","Rota","ROTARIX","D1","E1",1,"Mean",121.86,81.26,182.36
"China","Medium","Rota","ROTARIX","D1","E1",1,"alpha",0.4,0.4,0.4
"China","Medium","Rota","ROTARIX","D1","E1",1,"beta",304.65,203.15,455.9
"China","Medium","Rota","ROTARIX","D2","E1",1,"VE",0.91,0.9,0.93
"China","Medium","Rota","ROTARIX","D2","E1",1,"Mean",121.86,81.26,182.36
"China","Medium","Rota","ROTARIX","D2","E1",1,"alpha",0.4,0.4,0.4
"China","Medium","Rota","ROTARIX","D2","E1",1,"beta",304.65,203.15,455.9
"China","Medium","Rota","ROTARIX","D3","E1",1,"VE",0.91,0.9,0.93
"China","Medium","Rota","ROTARIX","D3","E1",1,"Mean",121.86,81.26,182.36
"China","Medium","Rota","ROTARIX","D3","E1",1,"alpha",0.4,0.4,0.4
"China","Medium","Rota","ROTARIX","D3","E1",1,"beta",304.65,203.15,455.9
"China","Medium","Rota","ROTARIX","D1","E2",0.85,"VE",0.493,0.3825,0.629
"China","Medium","Rota","ROTARIX","D1","E2",0.85,"Mean",121.86,81.26,182.36
"China","Medium","Rota","ROTARIX","D1","E2",0.85,"alpha",0.4,0.4,0.4
"China","Medium","Rota","ROTARIX","D1","E2",0.85,"beta",304.65,203.15,455.9
"China","Medium","Rota","ROTARIX","D2","E2",0.85,"VE",0.7735,0.765,0.7905
"China","Medium","Rota","ROTARIX","D2","E2",0.85,"Mean",121.86,81.26,182.36
"China","Medium","Rota","ROTARIX","D2","E2",0.85,"alpha",0.4,0.4,0.4
"China","Medium","Rota","ROTARIX","D2","E2",0.85,"beta",304.65,203.15,455.9
"China","Medium","Rota","ROTARIX","D3","E2",0.85,"VE",0.7735,0.765,0.7905
"China","Medium","Rota","ROTARIX","D3","E2",0.85,"Mean",121.86,81.26,182.36
